Rank,Species (50 CFR Part 17),Status,"SpeciesTotal","CumulativeTotal","CumulativePercent"
264,"Orchid, eastern prairie fringed (Platanthera leucophaea)",T,"$142,120","$767,880,708",96.82
265,"Springsnail, Idaho (Fontelicella idahoensis)",E,"$141,417","$768,022,125",96.84
266,"Squirrel, Delmarva Peninsula foxexcept Sussex Co., DE (Sciurus niger cinereus)",E,"$139,691","$768,161,816",96.85
267,"Pupfish, Devils Hole (Cyprinodon diabolis)",E,"$137,820","$768,299,636",96.87
268,"Ladies'-tresses, Navasota (Spiranthes parksii)",E,"$137,400","$768,437,036",96.89
269,"Fox, Santa Cruz Island (Urocyon littoralis santacruzae)",E,"$136,619","$768,573,655",96.91
270,"Woundfinexcept Gila R. drainage, AZ, NM (Plagopterus argentissimus)",E,"$136,533","$768,710,188",96.92
271,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"$136,000","$768,846,188",96.94
272,"Ambersnail, Kanab (Oxyloma haydeni kanabensis)",E,"$135,921","$768,982,109",96.96
273,"Butterfly, Palos Verdes blue (Glaucopsyche lygdamuspalosverdesensis)",E,"$135,226","$769,117,335",96.97
274,"Sparrow, Florida grasshopper (Ammodramus savannarumfloridanus)",E,"$135,000","$769,252,335",96.99
275,"Crocodile, American (Crocodylus acutus)",E,"$134,600","$769,386,935",97.01
276,"Chaffseed, American (Schwalbea americana)",E,"$131,320","$769,518,255",97.02
277,"Caribou, woodlandID, WA, B.C. (Rangifer tarandus caribou)",E,"$131,297","$769,649,552",97.04
278,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)",E,"$129,416","$769,778,968",97.06
279,"Mint, Lakela's (Dicerandra immaculata)",E,"$128,500","$769,907,468",97.07
280,"Chub, Mohave tui (Gila bicolor mohavensis)",E,"$125,520","$770,032,988",97.09
281,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"$124,800","$770,157,788",97.1
282,"Sunflower, Eggert's (Helianthus eggertii)",T,"$123,533","$770,281,321",97.12
283,"Pocketbook, Ouachita rock (Arkansia wheeleri)",E,"$122,400","$770,403,721",97.14
284,"Snail, Snake River physa (Physa natricina)",E,"$121,593","$770,525,314",97.15
285,"Bean, Cumberland (pearlymussel)Entire Range; Except where listed as Experimental Populations(Villosa trabalis)",E,"$121,136","$770,646,450",97.17
286,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"$119,758","$770,766,208",97.18
287,"Cavesnail, Tumbling Creek (Antrobia culveri)",E,"$119,200","$770,885,408",97.2
288,"Lily, Western (Lilium occidentale)",E,"$119,164","$771,004,572",97.21
289,"Bear, American blackCounty range of LA b.bear (Ursus americanus)",SAT,"$119,100","$771,123,672",97.23
290,"Brodiaea, thread-leaved (Brodiaea filifolia)",T,"$116,724","$771,240,396",97.24
291,"Wolf, graySouthwestern Distinct Population Segment (Canis lupus)",E,"$115,472","$771,355,868",97.26
292,Mahoe (Alectryon macrococcus),E,"$115,325","$771,471,193",97.27
293,"Pocketbook, fat (Potamilus capax)",E,"$114,980","$771,586,173",97.28
294,"Salamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",E,"$114,200","$771,700,373",97.3
295,Mehamehame (Flueggea neowawraea),E,"$113,007","$771,813,380",97.31
296,"Woodrat, Key Largo (Neotoma floridana smalli)",E,"$112,800","$771,926,180",97.33
297,Kuahiwi laukahi (Plantago princeps),E,"$112,735","$772,038,915",97.34
298,"Deer, Columbian white-tailedColumbia River DPS (Odocoileus virginianus leucurus)",E,"$110,106","$772,149,021",97.36
299,"Pogonia, small whorled (Isotria medeoloides)",T,"$107,522","$772,256,543",97.37
300,"Bat, Mexican long-nosed (Leptonycteris nivalis)",E,"$106,400","$772,362,943",97.38
301,Spermolepis hawaiiensis (=Sci name),E,"$105,422","$772,468,365",97.4
302,Diellia falcata (=Sci name),E,"$104,766","$772,573,131",97.41
303,"Coot, Hawaiian (Fulica americana alai)",E,"$104,386","$772,677,517",97.42
304,"Rattlesnake, New Mexican ridge-nosed (Crotalus willardi obscurus)",T,"$104,300","$772,781,817",97.44
305,"Navarretia, spreading (Navarretia fossalis)",T,"$104,267","$772,886,084",97.45
306,"Meadowfoam, large-flowered woolly (Limnanthes floccosa ssp.grandiflora)",E,"$102,985","$772,989,069",97.46
307,"Riffleshell, northern (Epioblasma torulosa rangiana)",E,"$102,610","$773,091,679",97.47
308,`Ohe`ohe (Tetraplasandra gymnocarpa),E,"$102,519","$773,194,198",97.49
309,"Bankclimber, purple (mussel) (Elliptoideus sloatianus)",T,"$102,120","$773,296,318",97.5
310,"Howellia, water (Howellia aquatilis)",T,"$101,357","$773,397,675",97.51
311,"Darter, snail (Percina tanasi)",T,"$101,100","$773,498,775",97.53
312,"Quillwort, Louisiana (Isoetes louisianensis)",E,"$101,000","$773,599,775",97.54
313,`Anaunau (Lepidium arbuscula),E,"$100,912","$773,700,687",97.55
314,Silene lanceolata (=Sci name),E,"$100,785","$773,801,472",97.56
315,Jaguar (Panthera onca),E,"$100,632","$773,902,104",97.58
316,"Phlox, Yreka (Phlox hirsuta)",E,"$100,027","$774,002,131",97.59
317,"Abalone, White (Haliotis sorenseni)",E,"$100,000","$774,102,131",97.6
318,Pamakani (Viola chamissoniana ssp. chamissoniana),E,"$99,956","$774,202,087",97.61
319,"Bird's-beak, salt marsh (Cordylanthus maritimus ssp. maritimus)",E,"$99,140","$774,301,227",97.63
320,Harperella (Ptilimnium nodosum),E,"$98,682","$774,399,909",97.64
321,"Tortoise, desertoutside/taken from Sonoran Desert (Gopherus agassizii)",SAT,"$98,290","$774,498,199",97.65
322,Bonamia menziesii (=Sci name),E,"$98,090","$774,596,289",97.66
323,"Phlox, Texas trailing (Phlox nivalis ssp. texensis)",E,"$98,000","$774,694,289",97.68
324,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"$97,281","$774,791,570",97.69
325,"Rock-cress, Braun's (Arabis perstellata)",E,"$96,450","$774,888,020",97.7
326,"Desert-parsley, Bradshaw's (Lomatium bradshawii)",E,"$95,761","$774,983,781",97.71
327,"Pearlymussel, crackingEntire Range; Except where listed as Experimental Populations(Hemistena lata)",E,"$94,200","$775,077,981",97.73
328,"Sand-verbena, large-fruited (Abronia macrocarpa)",E,"$91,580","$775,169,561",97.74
329,"Parrotbill, Maui (honeycreeper) (Pseudonestor xanthophrys)",E,"$91,484","$775,261,045",97.75
330,"Mouse, Choctawhatchee beach (Peromyscus polionotus allophrys)",E,"$91,052","$775,352,097",97.76
331,"Fern, Aleutian shield (Polystichum aleuticum)",E,"$91,000","$775,443,097",97.77
332,"Thistle, La Graciosa (Cirsium loncholepis)",E,"$90,341","$775,533,438",97.78
333,Kulu`i (Nototrichium humile),E,"$90,128","$775,623,566",97.79
334,"Sumac, Michaux's (Rhus michauxii)",E,"$90,046","$775,713,612",97.81
335,"Three-ridge, fat (mussel) (Amblema neislerii)",E,"$89,720","$775,803,332",97.82
336,"Milk-vetch, Fish Slough (Astragalus lentiginosus var. piscinensis)",T,"$89,235","$775,892,567",97.83
337,"Dawn-flower, Texas prairie (Hymenoxys texana)",E,"$89,100","$775,981,667",97.84
338,"Ambrosia, San Diego (Ambrosia pumila)",E,"$88,002","$776,069,669",97.85
339,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"$87,407","$776,157,076",97.86
340,"Aster, decurrent false (Boltonia decurrens)",T,"$86,300","$776,243,376",97.87
341,Oha (Delissea subcordata),E,"$84,501","$776,327,877",97.88
342,Schiedea nuttallii (=Sci name),E,"$84,330","$776,412,207",97.89
343,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"$84,123","$776,496,330",97.9
344,"Dace, desert (Eremichthys acros)",T,"$84,108","$776,580,438",97.91
345,"Fairy shrimp, Conservancy (Branchinecta conservatio)",E,"$83,721","$776,664,159",97.93
346,"Butterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",E,"$83,620","$776,747,779",97.94
347,Alsinidendron obovatum (=Sci name),E,"$83,309","$776,831,088",97.95
348,`Akoko (Chamaesyce celastroides var. kaenana),E,"$82,089","$776,913,177",97.96
349,"Potato-bean, Price's (Apios priceana)",T,"$81,570","$776,994,747",97.97
350,`Akoko (Euphorbia haeleeleana),E,"$81,375","$777,076,122",97.98
351,"Butterfly plant, Colorado (Gaura neomexicana var. coloradensis)",T,"$81,105","$777,157,227",97.99
352,"Spinedace, Little Colorado (Lepidomeda vittata)",T,"$80,400","$777,237,627",98.0
353,Schiedea hookeri (=Sci name),E,"$79,856","$777,317,483",98.01
354,Haha (Cyanea superba),E,"$79,815","$777,397,298",98.02
355,Sanicula mariversa (=Sci name),E,"$79,484","$777,476,782",98.03
356,Kamanomano (Cenchrus agrimonioides),E,"$79,415","$777,556,197",98.04
357,"Pearlymussel, Curtis (Epioblasma florentina curtisii)",E,"$79,300","$777,635,497",98.05
358,Na`ena`e (Dubautia herbstobatae),E,"$79,013","$777,714,510",98.06
359,Hedyotis parvula (=Sci name),E,"$78,808","$777,793,318",98.07
359,Nehe (Lipochaeta tenuifolia),E,"$78,808","$777,872,126",98.08
361,Ha`iwale (Cyrtandra dentata),E,"$78,696","$777,950,822",98.09
362,"Mouse, St. Andrew beach (Peromyscus polionotus peninsularis)",E,"$78,452","$778,029,274",98.1
363,Hedyotis degeneri (=Sci name),E,"$78,091","$778,107,365",98.11
364,Lobelia niihauensis (=Sci name),E,"$77,931","$778,185,296",98.12
365,"Dropwort, Canby's (Oxypolis canbyi)",E,"$77,120","$778,262,416",98.13
366,"Lomatium, Cook's (Lomatium cookii)",E,"$75,985","$778,338,401",98.14
367,"Sawfish, smalltooth (Pristis pectinata)",E,"$75,900","$778,414,301",98.15
368,"Tern, roseatenortheast U.S. nesting pop. (Sterna dougallii dougallii)",E,"$75,675","$778,489,976",98.16
369,"Logperch, Roanoke (Percina rex)",E,"$75,200","$778,565,176",98.16
370,Tetramolopium filiforme (=Sci name),E,"$74,989","$778,640,165",98.17
371,Lo`ulu (Pritchardia kaalae),E,"$74,538","$778,714,703",98.18
372,"Bush-clover, prairie (Lespedeza leptostachya)",T,"$74,500","$778,789,203",98.19
373,Pauoa (Ctenitis squamigera),E,"$73,967","$778,863,170",98.2
374,"Spiraea, Virginia (Spiraea virginiana)",T,"$73,621","$778,936,791",98.21
375,"Prairie-chicken, Attwater's greater (Tympanuchus cupido attwateri)",E,"$72,581","$779,009,372",98.22
376,"Chub, Owens tui (Gila bicolor snyderi)",E,"$72,393","$779,081,765",98.23
377,"Snake, Lake Erie watersubspecies range clarified (Nerodia sipedon insularum)",T,"$72,350","$779,154,115",98.24
378,"Whale, finback (Balaenoptera physalus)",E,"$72,160","$779,226,275",98.25
379,"Darter, slackwater (Etheostoma boschungi)",T,"$72,000","$779,298,275",98.26
380,"Loosestrife, rough-leaved (Lysimachia asperulaefolia)",E,"$70,492","$779,368,767",98.27
381,"Penstemon, blowout (Penstemon haydenii)",E,"$70,255","$779,439,022",98.28
382,"Meadowfoam, Butte County (Limnanthes floccosa ssp. californica)",E,"$69,640","$779,508,662",98.28
383,"Moth, Kern primrose sphinx (Euproserpinus euterpe)",T,"$69,544","$779,578,206",98.29
384,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis)",E,"$69,541","$779,647,747",98.3
385,"Darter, leopard (Percina pantherina)",T,"$68,571","$779,716,318",98.31
386,"Sparrow, San Clemente sage (Amphispiza belli clementeae)",T,"$67,845","$779,784,163",98.32
387,"Snail, Chittenango ovate amber (Succinea chittenangoensis)",T,"$67,700","$779,851,863",98.33
388,"Darter, relict (Etheostoma chienense)",E,"$67,500","$779,919,363",98.34
389,Po`ouli (honeycreeper) (Melamprosops phaeosoma),E,"$67,203","$779,986,566",98.34
390,"Gambusia, Pecos (Gambusia nobilis)",E,"$66,750","$780,053,316",98.35
391,"Whale, blue (Balaenoptera musculus)",E,"$66,594","$780,119,910",98.36
392,"Bird's-beak, soft (Cordylanthus mollis ssp. mollis)",E,"$66,148","$780,186,058",98.37
393,"Whale, Sei (Balaenoptera borealis)",E,"$66,129","$780,252,187",98.38
394,"Moorhen, Mariana common (Gallinula chloropus guami)",E,"$66,102","$780,318,289",98.39
395,"Monkshood, northern wild (Aconitum noveboracense)",T,"$65,300","$780,383,589",98.39
396,"Pocketbook, shinyrayed (Lampsilis subangulata)",E,"$65,220","$780,448,809",98.4
397,"Trout, Little Kern golden (Oncorhynchus aguabonita whitei)",T,"$64,999","$780,513,808",98.41
398,Phyllostegia hirsuta (=Sci name),E,"$64,877","$780,578,685",98.42
398,Haha (Cyanea acuminata),E,"$64,877","$780,643,562",98.43
400,"Pupfish, Owens (Cyprinodon radiosus)",E,"$64,393","$780,707,955",98.44
401,"Shiner, Cape Fear (Notropis mekistocholas)",E,"$64,148","$780,772,103",98.44
402,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylumcroceum)",E,"$63,631","$780,835,734",98.45
403,"Moccasinshell, Ochlockonee (Medionidus simpsonianus)",E,"$63,200","$780,898,934",98.46
404,"Milk-vetch, Ventura Marsh (Astragalus pycnostachyus var.lanosissimus)",E,"$62,451","$780,961,385",98.47
405,"Dace, blackside (Phoxinus cumberlandensis)",T,"$61,900","$781,023,285",98.47
406,"Piperia, Yadon's (Piperia yadonii)",E,"$61,500","$781,084,785",98.48
407,"Ground beetle, [unnamed] (Rhadine infernalis)",E,"$61,160","$781,145,945",98.49
407,"Ground beetle, [unnamed] (Rhadine exilis)",E,"$61,160","$781,207,105",98.5
409,Hesperomannia arborescens (=Sci name),E,"$60,928","$781,268,033",98.51
410,Nanu (Gardenia mannii),E,"$60,831","$781,328,864",98.51
411,"Squirrel, Carolina northern flying (Glaucomys sabrinus coloratus)",E,"$60,630","$781,389,494",98.52
412,"Moccasinshell, Alabama (Medionidus acutissimus)",T,"$60,600","$781,450,094",98.53
413,Sanicula purpurea (=Sci name),E,"$60,347","$781,510,441",98.54
414,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"$60,336","$781,570,777",98.54
415,"Meshweaver, Madla's Cave (Cicurina madla)",E,"$60,160","$781,630,937",98.55
416,Haha (Cyanea koolauensis),E,"$59,919","$781,690,856",98.56
417,Pteris lidgatei (=Sci name),E,"$59,831","$781,750,687",98.57
418,"Combshell, CumberlandianEntire Range; Except where listed as Experimental Populations(Epioblasma brevidens)",E,"$59,520","$781,810,207",98.57
419,"Sucker, Warner (Catostomus warnerensis)",T,"$59,263","$781,869,470",98.58
420,"Pigtoe, oval (Pleurobema pyriforme)",E,"$59,220","$781,928,690",98.59
421,"Elktoe, Cumberland (Alasmidonta atropurpurea)",E,"$59,173","$781,987,863",98.6
422,"Cactus, Nichol's Turk's head (Echinocactus horizonthalonius var.nicholii)",E,"$59,000","$782,046,863",98.6
423,"Slabshell, Chipola (Elliptio chipolaensis)",T,"$58,620","$782,105,483",98.61
424,"Sunflower, Schweinitz's (Helianthus schweinitzii)",E,"$58,396","$782,163,879",98.62
425,"Butterfly, Smith's blue (Euphilotes enoptes smithi)",E,"$58,227","$782,222,106",98.63
426,"Moccasinshell, Gulf (Medionidus penicillatus)",E,"$58,220","$782,280,326",98.63
427,"Stickleback, unarmored threespine (Gasterosteus aculeatuswilliamsoni)",E,"$57,790","$782,338,116",98.64
428,"Ziziphus, Florida (Ziziphus celata)",E,"$57,100","$782,395,216",98.65
429,Ma`oli`oli (Schiedea kealiae),E,"$57,038","$782,452,254",98.65
430,Kauila (Colubrina oppositifolia),E,"$56,609","$782,508,863",98.66
431,"Catspaw (=purple cat's paw pearlymussel)Entire Range; Except where listed as Experimental Populations(Epioblasma obliquata obliquata)",E,"$56,500","$782,565,363",98.67
432,"Cactus, Tobusch fishhook (Ancistrocactus tobuschii)",E,"$56,250","$782,621,613",98.68
433,"Checkermallow, Wenatchee Mountains (Sidalcea oregana var. calva)",E,"$55,948","$782,677,561",98.68
434,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"$55,900","$782,733,461",98.69
435,"Mucket, orangenacre (Lampsilis perovalis)",T,"$55,250","$782,788,711",98.7
436,"Kangaroo rat, San Bernardino Merriam's (Dipodomys merriamiparvus)",E,"$54,885","$782,843,596",98.7
437,"Poppy, Sacramento prickly (Argemone pleiacantha ssp. pinnatisecta)",E,"$54,700","$782,898,296",98.71
438,"Milkweed, Mead's (Asclepias meadii)",T,"$54,414","$782,952,710",98.72
439,"Cactus, star (Astrophytum asterias)",E,"$53,416","$783,006,126",98.72
440,"Mapleleaf, winged (mussel)AL; Free-Flowing Reach of the Tennessee River below the WilsonDam, Colbert and Lauderdale Counties, AL (Quadrula fragosa)",EXPN,"$52,582","$783,058,708",98.73
441,"Spineflower, Robust (incl. Scotts Valley) (Chorizanthe robusta (incl.vars. robusta and hartwegii))",E,"$52,496","$783,111,204",98.74
442,"Shiner, palezone (Notropis albizonatus)",E,"$52,000","$783,163,204",98.74
443,"Clubshell, southern (Pleurobema decisum)",E,"$51,600","$783,214,804",98.75
444,"Warbler, nightingale reed (old world warbler) (Acrocephalus luscinia)",E,"$50,934","$783,265,738",98.76
445,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"$50,900","$783,316,638",98.76
446,"Duck, Laysan (Anas laysanensis)",E,"$50,806","$783,367,444",98.77
447,"Pearlshell, Louisiana (Margaritifera hembeli)",T,"$50,642","$783,418,086",98.78
448,Nesogenes rotensis (=Sci name),E,"$50,423","$783,468,509",98.78
448,Osmoxylon mariannense (=Sci name),E,"$50,423","$783,518,932",98.79
450,"Mussel, oysterAL; Free-Flowing Reach of the Tennessee River below the WilsonDam, Colbert and Lauderdale Counties, AL (Epioblasmacapsaeformis)",EXPN,"$50,000","$783,568,932",98.8
451,Akiapola`au (honeycreeper) (Hemignathus munroi),E,"$49,939","$783,618,871",98.8
452,Koki`o (Kokia drynarioides),E,"$49,725","$783,668,596",98.81
453,"Sucker, Modoc (Catostomus microps)",E,"$49,686","$783,718,282",98.81
454,"Ambrosia, south Texas (Ambrosia cheiranthifolia)",E,"$48,816","$783,767,098",98.82
455,"Pocketbook, finelined (Lampsilis altilis)",T,"$48,500","$783,815,598",98.83
456,"Spineflower, Monterey (Chorizanthe pungens var. pungens)",T,"$48,206","$783,863,804",98.83
457,"Snail, Iowa Pleistocene (Discus macclintocki)",E,"$47,600","$783,911,404",98.84
458,"Skink, sand (Neoseps reynoldsi)",T,"$47,200","$783,958,604",98.84
459,"Clubshell, ovate (Pleurobema perovatum)",E,"$46,900","$784,005,504",98.85
460,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli)",E,"$46,770","$784,052,274",98.86
461,"Mussel, oysterEntire Range; Except where listed as Experimental Populations(Epioblasma capsaeformis)",E,"$46,510","$784,098,784",98.86
462,"Mallow, Peter's Mountain (Iliamna corei)",E,"$46,500","$784,145,284",98.87
463,Hala pepe (Pleomele hawaiiensis),E,"$46,189","$784,191,473",98.87
464,"Thistle, Chorro Creek bog (Cirsium fontinale var. obispoense)",E,"$45,920","$784,237,393",98.88
465,"Pimpleback, orangefoot (pearlymussel) (Plethobasus cooperianus)",E,"$45,650","$784,283,043",98.89
466,"Spinymussel, Tar River (Elliptio steinstansana)",E,"$45,568","$784,328,611",98.89
467,"Pigeon, Puerto Rican plain (Columba inornata wetmorei)",E,"$45,500","$784,374,111",98.9
467,"Minnow, Devils River (Dionda diaboli)",T,"$45,500","$784,419,611",98.9
469,"Pigtoe, finerayedEntire Range; Except where listed as Experimental Populations(Fusconaia cuneolus)",E,"$45,200","$784,464,811",98.91
470,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)",E,"$45,000","$784,509,811",98.91
471,"Skullcap, large-flowered (Scutellaria montana)",T,"$44,500","$784,554,311",98.92
472,"Button-celery, San Diego (Eryngium aristulatum var. parishii)",E,"$44,351","$784,598,662",98.93
472,"Orcutt grass, California (Orcuttia californica)",E,"$44,351","$784,643,013",98.93
474,"Goldenrod, Short's (Solidago shortii)",E,"$44,100","$784,687,113",98.94
475,"Milk-vetch, Holmgren (Astragalus holmgreniorum)",E,"$44,000","$784,731,113",98.94
476,"Combshell, upland (Epioblasma metastriata)",E,"$43,800","$784,774,913",98.95
477,`Aiea (Nothocestrum breviflorum),E,"$43,779","$784,818,692",98.95
478,"Butterfly, Behren's silverspot (Speyeria zerene behrensii)",E,"$43,607","$784,862,299",98.96
479,"Rush-pea, slender (Hoffmannseggia tenella)",E,"$43,416","$784,905,715",98.96
480,Nioi (Eugenia koolauensis),E,"$43,347","$784,949,062",98.97
481,"Bear-poppy, dwarf (Arctomecon humilis)",E,"$43,200","$784,992,262",98.98
482,Uhiuhi (Caesalpinia kavaiense),E,"$43,079","$785,035,341",98.98
483,"Mesa-mint, San Diego (Pogogyne abramsii)",E,"$42,351","$785,077,692",98.99
484,"Spurge, deltoid (Chamaesyce deltoidea ssp. deltoidea)",E,"$42,096","$785,119,788",98.99
485,"Darter, boulder (Etheostoma wapiti)",E,"$42,000","$785,161,788",99.0
485,"Milk-vetch, Shivwitz (Astragalus ampullarioides)",E,"$42,000","$785,203,788",99.0
487,"Butterfly, bay checkerspot (Euphydryas editha bayensis)",T,"$41,885","$785,245,673",99.01
488,"Bird's beak, palmate-bracted (Cordylanthus palmatus)",E,"$41,603","$785,287,276",99.01
489,"Bladderpod, white (Lesquerella pallida)",E,"$41,500","$785,328,776",99.02
490,"Turtle, bog (=Muhlenberg)southern (Clemmys muhlenbergii)",SAT,"$41,150","$785,369,926",99.02
491,"Toad, Puerto Rican crested (Peltophryne lemur)",T,"$40,000","$785,409,926",99.03
491,"Prickly-apple, fragrant (Cereus eriophorus var. fragrans)",E,"$40,000","$785,449,926",99.03
493,Haha (Cyanea st-johnii),E,"$39,843","$785,489,769",99.04
494,"Woodpecker, ivory-billed (Campephilus principalis)",E,"$39,800","$785,529,569",99.04
495,"Lampmussel, AlabamaEntire Range; Except where listed as Experimental Populations(Lampsilis virescens)",E,"$39,400","$785,568,969",99.05
496,Wawae`iole (Lycopodium (=Phlegmariurus) nutans),E,"$39,127","$785,608,096",99.05
497,"Spinedace, White River (Lepidomeda albivallis)",E,"$38,859","$785,646,955",99.06
498,Alani (Melicope lydgatei),E,"$38,643","$785,685,598",99.06
499,"Pupfish, Comanche Springs (Cyprinodon elegans)",E,"$38,500","$785,724,098",99.07
500,"Bladderpod, Spring Creek (Lesquerella perforata)",E,"$38,416","$785,762,514",99.07
501,Cyanea (=Rollandia) crispa (=Sci name),E,"$38,354","$785,800,868",99.08
502,"Sturgeon, Alabama (Scaphirhynchus suttkusi)",E,"$38,284","$785,839,152",99.08
503,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",E,"$38,100","$785,877,252",99.09
503,"Polygala, tiny (Polygala smallii)",E,"$38,100","$785,915,352",99.09
503,"Milkpea, Small's (Galactia smallii)",E,"$38,100","$785,953,452",99.1
506,"Lizard, Island night (Xantusia riversiana)",T,"$37,337","$785,990,789",99.1
507,"Bladderpod, Missouri (Lesquerella filiformis)",T,"$37,250","$786,028,039",99.11
508,"Bean, purple (Villosa perpurpurea)",E,"$36,963","$786,065,002",99.11
509,"Pitcher-plant, green (Sarracenia oreophila)",E,"$36,920","$786,101,922",99.12
510,"Fox, Santa Catalina Island (Urocyon littoralis catalinae)",E,"$36,709","$786,138,631",99.12
511,Kamakahala (Labordia cyrtandrae),E,"$36,573","$786,175,204",99.12
512,"Thistle, Suisun (Cirsium hydrophilum var. hydrophilum)",E,"$35,318","$786,210,522",99.13
513,"Schiedea, Diamond Head (Schiedea adamantis)",E,"$35,276","$786,245,798",99.13
514,"Nightjar, Puerto Rican (Caprimulgus noctitherus)",E,"$35,000","$786,280,798",99.14
514,"Cactus, Kuenzler hedgehog (Echinocereus fendleri var. kuenzleri)",E,"$35,000","$786,315,798",99.14
516,"Pigtoe, shinyEntire Range; Except where listed as Experimental Populations(Fusconaia cor)",E,"$34,950","$786,350,748",99.15
517,"Buckwheat, steamboat (Eriogonum ovalifolium var. williamsiae)",E,"$34,900","$786,385,648",99.15
518,"Heelsplitter, Alabama (=inflated) (Potamilus inflatus)",T,"$34,700","$786,420,348",99.16
519,"Evening-primrose, San Benito (Camissonia benitensis)",T,"$34,631","$786,454,979",99.16
520,Ha`iwale (Cyrtandra viridiflora),E,"$34,460","$786,489,439",99.16
521,Kolea (Myrsine juddii),E,"$34,459","$786,523,898",99.17
521,`Akoko (Chamaesyce rockii),E,"$34,459","$786,558,357",99.17
523,Haha (Cyanea humboldtiana),E,"$34,447","$786,592,804",99.18
523,Viola oahuensis (=Sci name),E,"$34,447","$786,627,251",99.18
525,"Four-o'clock, MacFarlane's (Mirabilis macfarlanei)",T,"$34,257","$786,661,508",99.19
526,"Towhee, Inyo California (Pipilo crissalis eremophilus)",T,"$34,019","$786,695,527",99.19
527,"Wooly-threads, San Joaquin (Monolopia (=Lembertia) congdonii)",E,"$33,431","$786,728,958",99.19
528,Neraudia ovata (=Sci name),E,"$33,350","$786,762,308",99.2
529,"Shrimp, Alabama cave (Palaemonias alabamae)",E,"$33,300","$786,795,608",99.2
530,"Tarplant, Otay (Deinandra (=Hemizonia) conjugens)",T,"$33,252","$786,828,860",99.21
531,"Poppy-mallow, Texas (Callirhoe scabriuscula)",E,"$33,080","$786,861,940",99.21
532,"Trillium, relict (Trillium reliquum)",E,"$32,870","$786,894,810",99.22
533,"Goldfields, Contra Costa (Lasthenia conjugens)",E,"$32,786","$786,927,596",99.22
534,"Lilliput, pale (pearlymussel) (Toxolasma cylindrellus)",E,"$32,650","$786,960,246",99.22
535,Asplenium fragile var. insulare (=Sci name),E,"$32,604","$786,992,850",99.23
536,A`e (Zanthoxylum hawaiiense),E,"$32,580","$787,025,430",99.23
537,"Pink, swamp (Helonias bullata)",T,"$32,350","$787,057,780",99.24
538,"Snake, copperbelly waterMI, OH, IN N of 400 N. Lat. (Nerodia erythrogaster neglecta)",T,"$32,310","$787,090,090",99.24
539,"Kidneyshell, triangular (Ptychobranchus greenii)",E,"$32,300","$787,122,390",99.24
540,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole (Adelocosa anops)",E,"$32,101","$787,154,491",99.25
540,"Amphipod, Kauai cave (Spelaeorchestia koloana)",E,"$32,101","$787,186,592",99.25
542,Kio`ele (Hedyotis coriacea),E,"$32,084","$787,218,676",99.26
543,Alsinidendron trinerve (=Sci name),E,"$32,077","$787,250,753",99.26
544,"Sneezeweed, Virginia (Helenium virginicum)",T,"$32,000","$787,282,753",99.26
544,Catesbaea melanocarpa (=Sci name),E,"$32,000","$787,314,753",99.27
546,"Combshell, CumberlandianAL; Free-Flowing Reach of the Tennessee River below the WilsonDam, Colbert and Lauderdale Counties, AL (Epioblasma brevidens)",EXPN,"$31,913","$787,346,666",99.27
547,"Beetle, Hungerford's crawling water (Brychius hungerfordi)",E,"$31,800","$787,378,466",99.28
548,"Beetle, Mount Hermon June (Polyphylla barbata)",E,"$31,740","$787,410,206",99.28
549,Aupaka (Isodendrion longifolium),T,"$31,597","$787,441,803",99.28
550,Tetramolopium arenarium (=Sci name),E,"$31,580","$787,473,383",99.29
551,Po`e (Portulaca sclerocarpa),E,"$31,270","$787,504,653",99.29
552,"Honeycreeper, crested (Palmeria dolei)",E,"$31,150","$787,535,803",99.3
553,"Vole, Florida salt marsh (Microtus pennsylvanicus dukecampbelli)",E,"$31,000","$787,566,803",99.3
553,"Woolly-star, Santa Ana River (Eriastrum densifolium ssp. sanctorum)",E,"$31,000","$787,597,803",99.3
555,"Darter, bluemask (=jewel) (Etheostoma /)",E,"$30,900","$787,628,703",99.31
556,"Turtle, yellow-blotched map (Graptemys flavimaculata)",T,"$30,500","$787,659,203",99.31
