Rank,Species (50 CFR Part 17),Status,"SpeciesTotal ($)","CumulativeTotal ($)","CumulativePercent ($)"
275,"Aster, decurrent false (Boltonia decurrens)",T,"97,561","664,025,871",96.96
276,"Trout, Paiute cutthroat (Oncorhynchus clarki seleniris)",T,"96,987","664,122,858",96.98
277,"Otter, southern sea[XN] (Enhydra lutris nereis)",EXPN,"96,012","664,218,870",96.99
278,Kuahiwi laukahi (Plantago princeps),E,"95,660","664,314,530",97.0
279,"Phlox, Yreka (Phlox hirsuta)",E,"95,106","664,409,636",97.02
280,"Squirrel, Delmarva Peninsula fox[XN] (Sciurus niger cinereus)",EXPN,"92,900","664,502,536",97.03
281,"Tadpole shrimp, vernal pool (Lepidurus packardi)",E,"92,862","664,595,398",97.05
282,"Sumac, Michaux's (Rhus michauxii)",E,"92,840","664,688,238",97.06
283,"Hawk, Hawaiian (='lo) (Buteo solitarius)",E,"92,446","664,780,684",97.07
284,"Tarplant, Santa Cruz (Holocarpha macradenia)",T,"92,300","664,872,984",97.09
285,"Coot, Hawaiian (Fulica americana alai)",E,"91,847","664,964,831",97.1
286,"Butterfly, bay checkerspot (Euphydryas editha bayensis)",T,"91,638","665,056,469",97.11
287,Bonamia menziesii (=Sci name),E,"89,992","665,146,461",97.13
288,Mahoe (Alectryon macrococcus),E,"89,452","665,235,913",97.14
289,"Mussel, oysterEntire Range; Except where listed as Experimental Populations(Epioblasma capsaeformis)",E,"88,762","665,324,675",97.15
290,"Silversword, Mauna Loa (=Ka'u) (Argyroxiphium kauense)",E,"88,374","665,413,049",97.16
291,A`e (Zanthoxylum hawaiiense),E,"88,276","665,501,325",97.18
292,"Bladderpod, white (Lesquerella pallida)",E,"87,500","665,588,825",97.19
293,"Shiner, Arkansas RiverArkansas R. Basin (Notropis girardi)",T,"86,666","665,675,491",97.2
294,"Moorhen, Hawaiian common (Gallinula chloropus sandvicensis)",E,"86,270","665,761,761",97.22
295,"Crayfish, Shasta (Pacifastacus fortis)",E,"86,236","665,847,997",97.23
296,"Stickleback, unarmored threespine (Gasterosteus aculeatus williamsoni)",E,"86,163","665,934,160",97.24
297,"Snail, Iowa Pleistocene (Discus macclintocki)",E,"85,600","666,019,760",97.25
298,"Orchid, eastern prairie fringed (Platanthera leucophaea)",T,"85,309","666,105,069",97.27
299,"Catchfly, Spalding's (Silene spaldingii)",T,"85,086","666,190,155",97.28
300,"Woodrat, riparian (=San Joaquin Valley) (Neotoma fuscipes riparia)",E,"84,500","666,274,655",97.29
301,"Darter, leopard (Percina pantherina)",T,"83,886","666,358,541",97.3
302,Harperella (Ptilimnium nodosum),E,"83,801","666,442,342",97.32
303,"Duck, Hawaiian (=koloa) (Anas wyvilliana)",E,"83,643","666,525,985",97.33
304,"Bat, Mariana fruit (=Mariana flying fox)Guam (Pteropus mariannus mariannus)",E,"83,582","666,609,567",97.34
305,Mehamehame (Flueggea neowawraea),E,"83,320","666,692,887",97.35
306,"Moccasinshell, Ochlockonee (Medionidus simpsonianus)",E,"82,900","666,775,787",97.36
307,"Amphipod, Kauai cave (Spelaeorchestia koloana)",E,"82,885","666,858,672",97.38
308,"Kangaroo rat, giant (Dipodomys ingens)",E,"82,500","666,941,172",97.39
309,"Ma`o hau hele, (=native yellow hibiscus) (Hibiscus brackenridgei)",E,"82,482","667,023,654",97.4
310,"Pawpaw, four-petal (Asimina tetramera)",E,"82,110","667,105,764",97.41
311,Po`e (Portulaca sclerocarpa),E,"81,586","667,187,350",97.42
312,"Spider, Kauai cave wolf or pe'e pe'e maka 'ole (Adelocosa anops)",E,"80,905","667,268,255",97.44
313,"Four-o'clock, MacFarlane's (Mirabilis macfarlanei)",T,"80,378","667,348,633",97.45
314,"Bat, Mexican long-nosed (Leptonycteris nivalis)",E,"80,119","667,428,752",97.46
315,Neraudia ovata (=Sci name),E,"79,686","667,508,438",97.47
316,"Dace, Moapa (Moapa coriacea)",E,"79,637","667,588,075",97.48
317,"Butterfly, Quino checkerspot (Euphydryas editha quino (=E. e. wrighti))",E,"78,900","667,666,975",97.49
318,Spermolepis hawaiiensis (=Sci name),E,"78,871","667,745,846",97.51
319,Silene hawaiiensis (=Sci name),T,"78,586","667,824,432",97.52
320,"Woundfinexcept Gila R. drainage, AZ, NM (Plagopterus argentissimus)",E,"78,432","667,902,864",97.53
321,Tetramolopium arenarium (=Sci name),E,"78,186","667,981,050",97.54
322,Kio`ele (Hedyotis coriacea),E,"78,086","668,059,136",97.55
323,"Butterfly, Smith's blue (Euphilotes enoptes smithi)",E,"78,000","668,137,136",97.56
324,Honohono (Haplostachys haplostachya),E,"77,586","668,214,722",97.57
324,Stenogyne angustifolia var. angustifolia (=Sci name),E,"77,586","668,292,308",97.59
326,"Dragonfly, Hine's emerald (Somatochlora hineana)",E,"77,510","668,369,818",97.6
327,Nanu (Gardenia mannii),E,"76,835","668,446,653",97.61
328,Oha (Delissea subcordata),E,"76,520","668,523,173",97.62
329,"Mouse, Pacific pocket (Perognathus longimembris pacificus)",E,"76,425","668,599,598",97.63
330,"Limpet, Banbury Springs (Lanx sp.)",E,"76,378","668,675,976",97.64
331,`Ohe`ohe (Tetraplasandra gymnocarpa),E,"76,373","668,752,349",97.65
332,Asplenium fragile var. insulare (=Sci name),E,"76,358","668,828,707",97.66
333,"Cactus, Wright fishhook (Sclerocactus wrightiae)",E,"76,000","668,904,707",97.67
333,"Milk-vetch, Peirson's (Astragalus magdalenae var. peirsonii)",T,"76,000","668,980,707",97.69
335,"Milk-vetch, heliotrope (Astragalus montii)",T,"75,800","669,056,507",97.7
336,Popolo ku mai (Solanum incompletum),E,"75,771","669,132,278",97.71
337,Silene lanceolata (=Sci name),E,"75,271","669,207,549",97.72
338,"Snail, Newcomb's (Erinna newcombi)",T,"74,586","669,282,135",97.73
339,Alsinidendron trinerve (=Sci name),E,"74,570","669,356,705",97.74
340,Hesperomannia arborescens (=Sci name),E,"74,520","669,431,225",97.75
340,Kamakahala (Labordia cyrtandrae),E,"74,520","669,505,745",97.76
342,"Dace, desert (Eremichthys acros)",T,"74,406","669,580,151",97.77
343,Schiedea nuttallii (=Sci name),E,"74,387","669,654,538",97.78
344,Ha`iwale (Cyrtandra dentata),E,"74,270","669,728,808",97.79
344,Ha`iwale (Cyrtandra subumbellata),E,"74,270","669,803,078",97.81
344,Haha (Cyanea acuminata),E,"74,270","669,877,348",97.82
344,Haha (Cyanea koolauensis),E,"74,270","669,951,618",97.83
348,Wawae`iole (Lycopodium (=Phlegmariurus) nutans),E,"74,065","670,025,683",97.84
349,`Anaunau (Lepidium arbuscula),E,"74,020","670,099,703",97.85
350,Lobelia gaudichaudii ssp. koolauensis (=Sci name),E,"73,720","670,173,423",97.86
351,Aupaka (Isodendrion longifolium),T,"73,533","670,246,956",97.87
352,Diellia falcata (=Sci name),E,"73,143","670,320,099",97.88
353,"Pocketbook, shinyrayed (Lampsilis subangulata)",E,"73,100","670,393,199",97.89
354,Phyllostegia mollis (=Sci name),E,"72,750","670,465,949",97.9
355,"Milkweed, Mead's (Asclepias meadii)",T,"72,515","670,538,464",97.91
356,Kamanomano (Cenchrus agrimonioides),E,"72,487","670,610,951",97.92
357,Phyllostegia hirsuta (=Sci name),E,"72,450","670,683,401",97.93
358,`Akoko (Euphorbia haeleeleana),E,"72,387","670,755,788",97.94
359,"Honeycreeper, crested (Palmeria dolei)",E,"72,302","670,828,090",97.96
360,Haha (Cyanea st-johnii),E,"72,283","670,900,373",97.97
361,`Akoko (Chamaesyce celastroides var. kaenana),E,"72,251","670,972,624",97.98
362,Pamakani (Viola chamissoniana ssp. chamissoniana),E,"72,073","671,044,697",97.99
363,"Snake, Concho water (Nerodia paucimaculata)",T,"72,025","671,116,722",98.0
364,Schiedea hookeri (=Sci name),E,"71,950","671,188,672",98.01
365,"Bush-clover, prairie (Lespedeza leptostachya)",T,"71,930","671,260,602",98.02
366,Cyanea (=Rollandia) crispa (=Sci name),E,"71,783","671,332,385",98.03
367,Lobelia niihauensis (=Sci name),E,"71,774","671,404,159",98.04
368,"Butterfly plant, Colorado (Gaura neomexicana var. coloradensis)",T,"71,756","671,475,915",98.05
369,Pteris lidgatei (=Sci name),E,"71,750","671,547,665",98.06
370,Alani (Melicope lydgatei),E,"71,733","671,619,398",98.07
371,Neraudia angulata (=Sci name),E,"71,720","671,691,118",98.08
372,Opuhe (Urera kaalae),E,"71,602","671,762,720",98.09
373,"Thrush, small Kauai (=puaiohi) (Myadestes palmeri)",E,"71,600","671,834,320",98.1
374,Haha (Cyanea humboldtiana),E,"71,483","671,905,803",98.11
374,Ha`iwale (Cyrtandra viridiflora),E,"71,483","671,977,286",98.12
374,`Akoko (Chamaesyce rockii),E,"71,483","672,048,769",98.13
377,Alsinidendron obovatum (=Sci name),E,"71,387","672,120,156",98.14
378,Nioi (Eugenia koolauensis),E,"71,233","672,191,389",98.15
379,Kulu`i (Nototrichium humile),E,"71,174","672,262,563",98.16
380,Kolea (Myrsine juddii),E,"70,933","672,333,496",98.18
381,"Moorhen, Mariana common (Gallinula chloropus guami)",E,"70,680","672,404,176",98.19
382,Sanicula purpurea (=Sci name),E,"70,463","672,474,639",98.2
383,"Bean, Cumberland (pearlymussel)AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam,Colbert and Lauderdale Counties, AL (Villosa trabalis)",EXPN,"70,000","672,544,639",98.21
383,"Blossom, tubercled (pearlymussel)AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam,Colbert and Lauderdale Counties, AL (Epioblasma torulosa torulosa)",EXPN,"70,000","672,614,639",98.22
385,Viola oahuensis (=Sci name),E,"69,663","672,684,302",98.23
386,Haha (Cyanea superba),E,"69,487","672,753,789",98.24
387,Hedyotis degeneri (=Sci name),E,"68,687","672,822,476",98.25
387,Tetramolopium filiforme (=Sci name),E,"68,687","672,891,163",98.26
389,Hedyotis parvula (=Sci name),E,"68,610","672,959,773",98.27
390,"Butterfly, Mitchell's satyr (Neonympha mitchellii mitchellii)",E,"68,500","673,028,273",98.28
391,Nehe (Lipochaeta tenuifolia),E,"68,487","673,096,760",98.29
391,Na`ena`e (Dubautia herbstobatae),E,"68,487","673,165,247",98.3
391,Lo`ulu (Pritchardia kaalae),E,"68,487","673,233,734",98.31
391,Sanicula mariversa (=Sci name),E,"68,487","673,302,221",98.32
395,Pauoa (Ctenitis squamigera),E,"68,287","673,370,508",98.33
396,"Warbler, nightingale reed (old world warbler) (Acrocephalus luscinia)",E,"68,220","673,438,728",98.34
397,Ma`oli`oli (Schiedea kealiae),E,"68,064","673,506,792",98.35
398,Lobelia oahuensis (=Sci name),E,"67,000","673,573,792",98.36
399,"Potato-bean, Price's (Apios priceana)",T,"66,840","673,640,632",98.37
400,"Bean, Cumberland (pearlymussel)Entire Range; Except where listed as Experimental Populations (Villosatrabalis)",E,"66,600","673,707,232",98.38
401,"Snail, Morro shoulderband (=Banded dune) (Helminthoglyptawalkeriana)",E,"66,500","673,773,732",98.39
401,"Milk-vetch, triple-ribbed (Astragalus tricarinatus)",E,"66,500","673,840,232",98.4
403,"Cactus, Winkler (Pediocactus winkleri)",T,"65,500","673,905,732",98.4
404,"Dawn-flower, Texas prairie (Hymenoxys texana)",E,"63,900","673,969,632",98.41
405,"Sparrow, San Clemente sage (Amphispiza belli clementeae)",T,"63,520","674,033,152",98.42
406,"Clover, running buffalo (Trifolium stoloniferum)",E,"63,300","674,096,452",98.43
407,"Polygala, tiny (Polygala smallii)",E,"62,890","674,159,342",98.44
408,"Madtom, Neosho (Noturus placidus)",T,"62,770","674,222,112",98.45
409,"Monkshood, northern wild (Aconitum noveboracense)",T,"62,200","674,284,312",98.46
410,"Mapleleaf, winged (mussel)AL; Free-Flowing Reach of the Tennessee River below the Wilson Dam,Colbert and Lauderdale Counties, AL (Quadrula fragosa)",EXPN,"62,000","674,346,312",98.47
411,Fanshell (Cyprogenia stegaria),E,"61,690","674,408,002",98.48
412,"Nightjar, Puerto Rican (Caprimulgus noctitherus)",E,"61,500","674,469,502",98.49
413,"Springfish, Railroad Valley (Crenichthys nevadae)",T,"60,729","674,530,231",98.5
414,"Pearlymussel, littlewing (Pegias fabula)",E,"60,600","674,590,831",98.5
415,"Desert-parsley, Bradshaw's (Lomatium bradshawii)",E,"60,229","674,651,060",98.51
416,"Cavefish, Ozark (Amblyopsis rosae)",T,"59,855","674,710,915",98.52
417,"Butterfly, Fender's blue (Icaricia icarioides fenderi)",E,"59,408","674,770,323",98.53
418,"Ambrosia, San Diego (Ambrosia pumila)",E,"59,400","674,829,723",98.54
419,"Skipper, Carson wandering (Pseudocopaeodes eunus obscurus)",E,"59,200","674,888,923",98.55
420,"Lizard, Coachella Valley fringe-toed (Uma inornata)",T,"59,000","674,947,923",98.56
421,"Lupine, Kincaid's (Lupinus sulphureus (=oreganus) ssp. kincaidii (=var.kincaidii))",T,"58,790","675,006,713",98.57
422,"Vole, Hualapai Mexican (Microtus mexicanus hualpaiensis)",E,"58,585","675,065,298",98.57
423,Ring pink (mussel) (Obovaria retusa),E,"58,511","675,123,809",98.58
424,"Rail, light-footed clapperU.S.A. only (Rallus longirostris levipes)",E,"58,200","675,182,009",98.59
425,"Skipper, Pawnee montane (Hesperia leonardus montana)",T,"57,122","675,239,131",98.6
426,"Mountain beaver, Point Arena (Aplodontia rufa nigra)",E,"56,800","675,295,931",98.61
427,"Sawfish, smalltooth (Pristis pectinata)",E,"56,500","675,352,431",98.62
428,"Springsnail, Bruneau Hot (Pyrgulopsis bruneauensis)",E,"56,471","675,408,902",98.62
429,"Sunflower, Schweinitz's (Helianthus schweinitzii)",E,"56,245","675,465,147",98.63
430,"Cactus, Sneed pincushion (Coryphantha sneedii var. sneedii)",E,"56,200","675,521,347",98.64
431,"Shrew, Buena Vista Lake ornate (Sorex ornatus relictus)",E,"56,000","675,577,347",98.65
431,"Skipper, Laguna Mountains (Pyrgus ruralis lagunae)",E,"56,000","675,633,347",98.66
433,"Bankclimber, purple (mussel) (Elliptoideus sloatianus)",T,"55,900","675,689,247",98.67
434,"Clubshell, southern (Pleurobema decisum)",E,"55,800","675,745,047",98.67
435,"Dace, blackside (Phoxinus cumberlandensis)",T,"55,550","675,800,597",98.68
436,"Rock-cress, Braun's (Arabis perstellata)",E,"55,340","675,855,937",98.69
437,"Milk-vetch, Coachella Valley (Astragalus lentiginosus var. coachellae)",E,"55,300","675,911,237",98.7
438,"Shrimp, Alabama cave (Palaemonias alabamae)",E,"55,100","675,966,337",98.71
439,"Water-umbel, Huachuca (Lilaeopsis schaffneriana var. recurva)",E,"54,372","676,020,709",98.71
440,"Campion, fringed (Silene polypetala)",E,"54,000","676,074,709",98.72
441,"Pocketbook, Ouachita rock (Arkansia wheeleri)",E,"53,972","676,128,681",98.73
442,"Butterfly, Saint Francis' satyr (Neonympha mitchellii francisci)",E,"53,400","676,182,081",98.74
443,"Spiraea, Virginia (Spiraea virginiana)",T,"53,217","676,235,298",98.75
444,"Mouse, Choctawhatchee beach (Peromyscus polionotus allophrys)",E,"53,000","676,288,298",98.75
445,"Pupfish, Comanche Springs (Cyprinodon elegans)",E,"52,500","676,340,798",98.76
446,Jaguar (Panthera onca),E,"52,469","676,393,267",98.77
447,"Chub, Owens tui (Gila bicolor snyderi)",E,"52,300","676,445,567",98.78
448,"Ziziphus, Florida (Ziziphus celata)",E,"51,500","676,497,067",98.78
449,"Salamander, Cheat Mountain (Plethodon nettingi)",T,"51,440","676,548,507",98.79
450,"Frankenia, Johnston's (Frankenia johnstonii)",E,"51,200","676,599,707",98.8
451,"Darter, amber (Percina antesella)",E,"51,000","676,650,707",98.81
452,"Salamander, Sonora tiger (Ambystoma tigrinum stebbinsi)",E,"50,465","676,701,172",98.81
453,"Brodiaea, thread-leaved (Brodiaea filifolia)",T,"50,025","676,751,197",98.82
454,"Milk-vetch, Sentry (Astragalus cremnophylax var. cremnophylax)",E,"49,198","676,800,395",98.83
455,"Birds-in-a-nest, white (Macbridea alba)",T,"49,100","676,849,495",98.83
455,"Bladderpod, Missouri (Lesquerella filiformis)",E,"49,100","676,898,595",98.84
457,"Lily, Western (Lilium occidentale)",E,"48,129","676,946,724",98.85
458,Wireweed (Polygonella basiramia),E,"47,900","676,994,624",98.86
459,"Thistle, Pitcher's (Cirsium pitcheri)",T,"47,828","677,042,452",98.86
460,"Pitcher-plant, green (Sarracenia oreophila)",E,"47,500","677,089,952",98.87
461,"Buckwheat, steamboat (Eriogonum ovalifolium var. williamsiae)",E,"47,321","677,137,273",98.88
462,"Salamander, Santa Cruz long-toed (Ambystoma macrodactylum",E,"47,100","677,184,373",98.88
,croceum),,,,
463.0,"Kangaroo rat, Fresno (Dipodomys nitratoides exilis)",E,"47,095","677,231,468",98.89
464.0,Kauila (Colubrina oppositifolia),E,"46,900","677,278,368",98.9
465.0,"Pigtoe, southern (Pleurobema georgianum)",E,"46,500","677,324,868",98.9
466.0,"Snake, copperbelly waterMI, OH, IN N of 400 N. Lat. (Nerodia erythrogaster neglecta)",T,"45,900","677,370,768",98.91
466.0,Koki`o (Kokia drynarioides),E,"45,900","677,416,668",98.92
468.0,Hala pepe (Pleomele hawaiiensis),E,"45,800","677,462,468",98.92
469.0,`Aiea (Nothocestrum breviflorum),E,"45,600","677,508,068",98.93
470.0,"Jaguarundi, Gulf Coast (Herpailurus (=Felis) yagouaroundi cacomitli)",E,"44,980","677,553,048",98.94
471.0,"Moccasinshell, Gulf (Medionidus penicillatus)",E,"44,600","677,597,648",98.94
472.0,"Pearlymussel, crackingEntire Range; Except where listed as Experimental Populations(Hemistena lata)",E,"44,157","677,641,805",98.95
473.0,"Agave, Arizona (Agave arizonica)",E,"42,811","677,684,616",98.96
474.0,"Shrimp, Kentucky cave (Palaemonias ganteri)",E,"42,500","677,727,116",98.96
475.0,"Pigeon, Puerto Rican plain (Columba inornata wetmorei)",E,"42,000","677,769,116",98.97
476.0,"Hawk, Puerto Rican broad-winged (Buteo platypterus brunnescens)",E,"41,500","677,810,616",98.98
476.0,"Hawk, Puerto Rican sharp-shinned (Accipiter striatus venator)",E,"41,500","677,852,116",98.98
476.0,"Checkermallow, Wenatchee Mountains (Sidalcea oregana var. calva)",E,"41,500","677,893,616",98.99
479.0,"Mouse, Perdido Key beach (Peromyscus polionotus trissyllepsis)",E,"40,650","677,934,266",98.99
480.0,"Spineflower, Orcutt's (Chorizanthe orcuttiana)",E,"40,483","677,974,749",99.0
481.0,"Butterfly, Uncompahgre fritillary (Boloria acrocnema)",E,"40,343","678,015,092",99.0
482.0,"Megapode, Micronesian (Megapodius laperouse)",E,"40,000","678,055,092",99.01
482.0,Uhiuhi (Caesalpinia kavaiense),E,"40,000","678,095,092",99.02
484.0,"Riffleshell, tan (Epioblasma florentina walkeri (=E. walkeri))",E,"39,602","678,134,694",99.02
485.0,"Mouse, Key Largo cotton (Peromyscus gossypinus allapaticola)",E,"39,500","678,174,194",99.03
485.0,"Kangaroo rat, Tipton (Dipodomys nitratoides nitratoides)",E,"39,500","678,213,694",99.03
487.0,"Elktoe, Cumberland (Alasmidonta atropurpurea)",E,"39,400","678,253,094",99.04
487.0,"Spinymussel, James (Pleurobema collina)",E,"39,400","678,292,494",99.05
489.0,"Button, Mohr's Barbara (Marshallia mohrii)",T,"39,200","678,331,694",99.05
490.0,"`Akoko, Ewa Plains (Chamaesyce skottsbergii var. kalaeloana)",E,"38,750","678,370,444",99.06
491.0,"Chub, spotfinEntire (Cyprinella monacha)",T,"38,440","678,408,884",99.06
492.0,"Gambusia, Pecos (Gambusia nobilis)",E,"38,200","678,447,084",99.07
493.0,"Rabbit, Lower Keys marsh (Sylvilagus palustris hefneri)",E,"38,150","678,485,234",99.07
494.0,"Iguana, Mona ground (Cyclura stejnegeri)",T,"37,500","678,522,734",99.08
495.0,"Tarplant, Gaviota (Hemizonia increscens ssp. villosa)",E,"37,300","678,560,034",99.08
496.0,"Skink, sand (Neoseps reynoldsi)",T,"37,100","678,597,134",99.09
497.0,"Lizard, blunt-nosed leopard (Gambelia silus)",E,"36,900","678,634,034",99.1
498.0,"Gerardia, sandplain (Agalinis acuta)",E,"36,500","678,670,534",99.1
499.0,"Howellia, water (Howellia aquatilis)",T,"36,005","678,706,539",99.11
500.0,"Turtle, flattened muskspecies range clarified (Sternotherus depressus)",T,"36,000","678,742,539",99.11
500.0,"Darter, goldline (Percina aurolineata)",T,"36,000","678,778,539",99.12
500.0,"Rattleweed, hairy (Baptisia arachnifera)",E,"36,000","678,814,539",99.12
503.0,"Skink, bluetail mole (Eumeces egregius lividus)",T,"35,500","678,850,039",99.13
504.0,"Tiger beetle, northeastern beach (Cicindela dorsalis dorsalis)",T,"35,420","678,885,459",99.13
505,"Alopecurus, Sonoma (Alopecurus aequalis var. sonomensis)",E,"35,330","678,920,789",99.14
506,"Beaked-rush, Knieskern's (Rhynchospora knieskernii)",T,"35,000","678,955,789",99.14
507,"Butterfly, Myrtle's silverspot (Speyeria zerene myrtleae)",E,"34,800","678,990,589",99.15
508,"Combshell, CumberlandianEntire Range; Except where listed as Experimental Populations(Epioblasma brevidens)",E,"34,562","679,025,151",99.15
509,"Fairy shrimp, Conservancy (Branchinecta conservatio)",E,"34,500","679,059,651",99.16
510,"Spineflower, Robust (incl. Scotts Valley) (Chorizanthe robusta (incl.vars. robusta and hartwegii))",E,"34,300","679,093,951",99.16
511,"Milkweed, Welsh's (Asclepias welshii)",T,"34,219","679,128,170",99.17
512,"Spineflower, Howell's (Chorizanthe howellii)",E,"34,100","679,162,270",99.17
513,"Pitcher-plant, Alabama canebrake (Sarracenia rubra alabamensis)",E,"34,000","679,196,270",99.18
514,"Ladies'-tresses, Navasota (Spiranthes parksii)",E,"33,380","679,229,650",99.18
515,"Sheep, bighornSierra Nevada DPS (Ovis canadensis californiana)",E,"33,353","679,263,003",99.19
516,"Pentachaeta, Lyon's (Pentachaeta lyonii)",E,"33,200","679,296,203",99.19
517,"Deer, Columbian white-tailedColumbia River DPS (Odocoileus virginianus leucurus)",E,"32,735","679,328,938",99.2
518,"Heelsplitter, Alabama (=inflated) (Potamilus inflatus)",T,"32,500","679,361,438",99.2
519,"Darter, duskytailEntire (Etheostoma percnurum)",E,"31,600","679,393,038",99.21
520,"Shiner, Cahaba (Notropis cahabae)",E,"31,000","679,424,038",99.21
521,"Cactus, Uinta Basin hookless (Sclerocactus glaucus)",T,"30,747","679,454,785",99.22
522,"Cavefish, Alabama (Speoplatyrhinus poulsoni)",E,"30,600","679,485,385",99.22
522,"Milk-vetch, Deseret (Astragalus desereticus)",T,"30,600","679,515,985",99.22
524,"Evening-primrose, Eureka Valley (Oenothera avita ssp. eurekensis)",E,"30,500","679,546,485",99.23
525,"Beauty, Harper's (Harperocallis flava)",E,"30,400","679,576,885",99.23
526,"Darter, fountain (Etheostoma fonticola)",E,"30,360","679,607,245",99.24
527,"Barberry, Truckee (Berberis (=Mahonia) sonnei)",E,"30,225","679,637,470",99.24
528,"Pigtoe, heavy (Pleurobema taitianum)",E,"30,000","679,667,470",99.25
529,"Clubshell, ovate (Pleurobema perovatum)",E,"29,800","679,697,270",99.25
529,"Moccasinshell, Alabama (Medionidus acutissimus)",T,"29,800","679,727,070",99.25
531,"Sunshine, Sonoma (Blennosperma bakeri)",E,"29,700","679,756,770",99.26
532,"Pearlymussel, birdwingEntire Range; Except where listed as Experimental Populations(Conradilla caelata)",E,"29,482","679,786,252",99.26
533,"Stickseed, showy (Hackelia venusta)",E,"28,856","679,815,108",99.27
534,"Fairy shrimp, longhorn (Branchinecta longiantenna)",E,"28,600","679,843,708",99.27
535,"Spinymussel, Tar River (Elliptio steinstansana)",E,"28,273","679,871,981",99.28
536,"Salamander, San Marcos (Eurycea nana)",T,"28,210","679,900,191",99.28
537,"Kidneyshell, triangular (Ptychobranchus greeni)",E,"27,800","679,927,991",99.28
538,"Yellowhead, desert (Yermo xanthocephalus)",T,"27,785","679,955,776",99.29
539,"Amphipod, Hay's Spring (Stygobromus hayi)",E,"27,700","679,983,476",99.29
540,"Pupfish, Leon Springs (Cyprinodon bovinus)",E,"27,600","680,011,076",99.3
540,Kiponapona (Phyllostegia racemosa),E,"27,600","680,038,676",99.3
542,"Salamander, Red Hills (Phaeognathus hubrichti)",T,"27,500","680,066,176",99.3
542,"Rockcress, Santa Cruz Island (Sibara filifolia)",E,"27,500","680,093,676",99.31
544,"Prickly-apple, fragrant (Cereus eriophorus var. fragrans)",E,"27,480","680,121,156",99.31
545,"Reed-mustard, Barneby (Schoenocrambe barnebyi)",E,"27,300","680,148,456",99.32
546,"Bird's-beak, soft (Cordylanthus mollis ssp. mollis)",E,"27,000","680,175,456",99.32
547,"Goldfields, Burke's (Lasthenia burkei)",E,"26,700","680,202,156",99.32
548,"Sucker, Modoc (Catostomus microps)",E,"26,500","680,228,656",99.33
549,"Meadowfoam, Sebastopol (Limnanthes vinculans)",E,"26,200","680,254,856",99.33
549,"Aster, Florida golden (Chrysopsis floridana)",E,"26,200","680,281,056",99.34
551,"Butterfly, Behren's silverspot (Speyeria zerene behrensii)",E,"25,900","680,306,956",99.34
552,"Penstemon, blowout (Penstemon haydenii)",E,"25,800","680,332,756",99.34
553,"Akepa, Maui (honeycreeper) (Loxops coccineus ochraceus)",E,"25,782","680,358,538",99.35
553,Nukupu`u (honeycreeper) (Hemignathus lucidus),E,"25,782","680,384,320",99.35
555,"Prairie-clover, leafy (Dalea foliosa)",E,"25,600","680,409,920",99.35
556,"Moccasinshell, Coosa (Medionidus parvulus)",E,"25,500","680,435,420",99.36
556,Haha (Cyanea shipmannii),E,"25,500","680,460,920",99.36
558,"Mucket, orangenacre (Lampsilis perovalis)",T,"25,040","680,485,960",99.37
559,"Thistle, Suisun (Cirsium hydrophilum var. hydrophilum)",E,"25,000","680,510,960",99.37
559,"Prickly-ash, St. Thomas (Zanthoxylum thomasianum)",E,"25,000","680,535,960",99.37
561,"Button-celery, San Diego (Eryngium aristulatum var. parishii)",E,"24,750","680,560,710",99.38
562,"Daisy, Maguire (Erigeron maguirei)",T,"24,600","680,585,310",99.38
563,Pigeon wings (Clitoria fragrans),T,"24,400","680,609,710",99.38
564,"Darter, bluemask (=jewel) (Etheostoma /)",E,"24,200","680,633,910",99.39
565,"Darter, relict (Etheostoma chienense)",E,"23,500","680,657,410",99.39
565,"Bean, purple (Villosa perpurpurea)",E,"23,500","680,680,910",99.39
565,"Snail, tulotoma (Tulotoma magnifica)",E,"23,500","680,704,410",99.4
568,"Cactus, Lee pincushion (Coryphantha sneedii var. leei)",T,"23,400","680,727,810",99.4
569,"Puma (=cougar), eastern (Puma (=Felis) concolor couguar)",E,"23,210","680,751,020",99.4
570,"Wild-rice, Texas (Zizania texana)",E,"23,000","680,774,020",99.41
570,"Daisy, Parish's (Erigeron parishii)",T,"23,000","680,797,020",99.41
572,"Lily, Minnesota dwarf trout (Erythronium propullans)",E,"22,800","680,819,820",99.41
573,"Snake, San Francisco garter (Thamnophis sirtalis tetrataenia)",E,"22,650","680,842,470",99.42
573,"Navarretia, spreading (Navarretia fossalis)",T,"22,650","680,865,120",99.42
575,"Pupfish, Ash Meadows Amargosa (Cyprinodon nevadensis mionectes)",E,"22,562","680,887,682",99.42
576,"Three-ridge, fat (mussel) (Amblema neislerii)",E,"22,500","680,910,182",99.43
576,"Tiger beetle, Ohlone (Cicindela ohlone)",E,"22,500","680,932,682",99.43
576,"Buckwheat, cushenbury (Eriogonum ovalifolium var. vineum)",E,"22,500","680,955,182",99.43
579,"Spinedace, Big Spring (Lepidomeda mollispinis pratensis)",T,"22,400","680,977,582",99.44
579,"Milk-vetch, Cushenbury (Astragalus albens)",E,"22,400","680,999,982",99.44
579,"Oxytheca, cushenbury (Oxytheca parishii var. goodmaniana)",E,"22,400","681,022,382",99.44
